ts,run_id,component,operation,metric,value_ms,program_id,service_id
1787359786546,inside-2-377630dc8c3546b2a5e2428672024586,launcher,experimental_control,validateServices_ms,59.477404,2,
1787359786546,inside-2-377630dc8c3546b2a5e2428672024586,launcher,start,retrieveProgram_ms,0.018519,2,
1787359786546,inside-2-377630dc8c3546b2a5e2428672024586,launcher,start,createCompartment_ms,0.001980,2,
1787359786546,inside-2-377630dc8c3546b2a5e2428672024586,launcher,start,deploy_ms,0.000920,2,
1787359786546,inside-2-377630dc8c3546b2a5e2428672024586,launcher,start,getIntegratedServices_ms,0.004539,2,
1787359786547,inside-2-377630dc8c3546b2a5e2428672024586,launcher,start,exchangeKeys_ms,0.004519,2,
1787359786547,inside-2-377630dc8c3546b2a5e2428672024586,launcher,start,generateAttestableDoc_ms,0.194704,2,
1787359786548,inside-2-377630dc8c3546b2a5e2428672024586,launcher,start,generateCertificate_ms,0.748175,2,
1787359786548,inside-2-377630dc8c3546b2a5e2428672024586,launcher,start,sign_ms,0.000860,2,
1787359786587,inside-2-377630dc8c3546b2a5e2428672024586,launcher,read,lookupService_ms,0.010421,2,health-registry-service
1787359786587,inside-2-377630dc8c3546b2a5e2428672024586,launcher,read,getCertificate_ms,0.211524,2,health-registry-service
1787359786588,inside-2-377630dc8c3546b2a5e2428672024586,launcher,read,getProgramPublicKey_ms,0.108423,2,health-registry-service
1787359786597,inside-2-377630dc8c3546b2a5e2428672024586,digital_service,request,verifyCertificate_ms,0.005980,2,health-registry-service
1787359786597,inside-2-377630dc8c3546b2a5e2428672024586,digital_service,request,retrieveLocalData_ms,0.211023,2,health-registry-service
1787359786597,inside-2-377630dc8c3546b2a5e2428672024586,digital_service,request,encrypt_ms,0.004579,2,health-registry-service
1787359786597,inside-2-377630dc8c3546b2a5e2428672024586,digital_service,request,request_total_ms,0.882936,2,health-registry-service
1787359786609,inside-2-377630dc8c3546b2a5e2428672024586,launcher,read,request_ms,21.420452,2,health-registry-service
1787359786610,inside-2-377630dc8c3546b2a5e2428672024586,launcher,read,launcher_read_total_ms,22.805500,2,health-registry-service
1787359786622,inside-2-377630dc8c3546b2a5e2428672024586,integration_process,read,decrypt_ms,0.000939,2,health-registry-service
1787359786622,inside-2-377630dc8c3546b2a5e2428672024586,integration_process,read,read_act_total_ms,54.236783,2,health-registry-service
1787359786631,inside-2-377630dc8c3546b2a5e2428672024586,launcher,write,lookupService_ms,0.002180,2,hospital-service
1787359786631,inside-2-377630dc8c3546b2a5e2428672024586,launcher,write,getCertificate_ms,0.135844,2,hospital-service
1787359786640,inside-2-377630dc8c3546b2a5e2428672024586,digital_service,post,verifyCertificate_ms,0.005480,2,hospital-service
1787359786640,inside-2-377630dc8c3546b2a5e2428672024586,digital_service,post,decrypt_ms,0.004421,2,hospital-service
1787359786640,inside-2-377630dc8c3546b2a5e2428672024586,digital_service,post,storeLocalData_ms,0.433949,2,hospital-service
1787359786641,inside-2-377630dc8c3546b2a5e2428672024586,digital_service,post,post_total_ms,1.103541,2,hospital-service
1787359786653,inside-2-377630dc8c3546b2a5e2428672024586,launcher,write,post_ms,20.993303,2,hospital-service
1787359786653,inside-2-377630dc8c3546b2a5e2428672024586,launcher,write,launcher_write_total_ms,21.781760,2,hospital-service
1787359786664,inside-2-377630dc8c3546b2a5e2428672024586,integration_process,write,getServicePublicKey_ms,0.000119,2,hospital-service
1787359786664,inside-2-377630dc8c3546b2a5e2428672024586,integration_process,write,encrypt_ms,0.000700,2,hospital-service
1787359786664,inside-2-377630dc8c3546b2a5e2428672024586,integration_process,write,write_request_response_ms,42.433156,2,hospital-service
1787359786664,inside-2-377630dc8c3546b2a5e2428672024586,integration_process,write,write_act_total_ms,42.446516,2,hospital-service
1787359786674,inside-2-377630dc8c3546b2a5e2428672024586,launcher,write,lookupService_ms,0.002720,2,messaging-service
1787359786674,inside-2-377630dc8c3546b2a5e2428672024586,launcher,write,getCertificate_ms,0.129921,2,messaging-service
1787359786682,inside-2-377630dc8c3546b2a5e2428672024586,digital_service,post,verifyCertificate_ms,0.005460,2,messaging-service
1787359786682,inside-2-377630dc8c3546b2a5e2428672024586,digital_service,post,decrypt_ms,0.004319,2,messaging-service
1787359786683,inside-2-377630dc8c3546b2a5e2428672024586,digital_service,post,storeLocalData_ms,0.367308,2,messaging-service
1787359786683,inside-2-377630dc8c3546b2a5e2428672024586,digital_service,post,post_total_ms,1.005138,2,messaging-service
1787359786695,inside-2-377630dc8c3546b2a5e2428672024586,launcher,write,post_ms,20.781440,2,messaging-service
1787359786695,inside-2-377630dc8c3546b2a5e2428672024586,launcher,write,launcher_write_total_ms,21.586475,2,messaging-service
1787359786707,inside-2-377630dc8c3546b2a5e2428672024586,integration_process,write,getServicePublicKey_ms,0.000140,2,messaging-service
1787359786707,inside-2-377630dc8c3546b2a5e2428672024586,integration_process,write,encrypt_ms,0.000680,2,messaging-service
1787359786707,inside-2-377630dc8c3546b2a5e2428672024586,integration_process,write,write_request_response_ms,42.259712,2,messaging-service
1787359786707,inside-2-377630dc8c3546b2a5e2428672024586,integration_process,write,write_act_total_ms,42.269232,2,messaging-service
1787359786707,inside-2-377630dc8c3546b2a5e2428672024586,integration_process,execute,execute_total_ms,139.170036,2,
1787359786711,inside-2-377630dc8c3546b2a5e2428672024586,launcher,start,run_ms,162.418424,2,
1787359786711,inside-2-377630dc8c3546b2a5e2428672024586,launcher,start,start_total_ms,164.915391,2,
