ts,run_id,component,operation,metric,value_ms,program_id,service_id
1787360820836,1787360820-826651913-25869,digital_service,request,verifyCertificate_ms,0.005220,2,health-registry-service
1787360820837,1787360820-826651913-25869,digital_service,request,retrieveLocalData_ms,0.202165,2,health-registry-service
1787360820837,1787360820-826651913-25869,digital_service,request,encrypt_ms,0.004539,2,health-registry-service
1787360820837,1787360820-826651913-25869,digital_service,request,request_total_ms,0.845596,2,health-registry-service
1787360820848,1787360820-826651913-25869,integration_process,read,read_request_response_ms,22.166746,2,health-registry-service
1787360820848,1787360820-826651913-25869,integration_process,read,read_parse_ms,0.009940,2,health-registry-service
1787360820848,1787360820-826651913-25869,integration_process,read,decrypt_ms,0.000340,2,health-registry-service
1787360820848,1787360820-826651913-25869,integration_process,read,read_act_total_ms,22.186707,2,health-registry-service
1787360820855,1787360820-826651913-25869,digital_service,post,verifyCertificate_ms,0.005100,2,hospital-service
1787360820856,1787360820-826651913-25869,digital_service,post,decrypt_ms,0.004100,2,hospital-service
1787360820856,1787360820-826651913-25869,digital_service,post,storeLocalData_ms,0.441189,2,hospital-service
1787360820856,1787360820-826651913-25869,digital_service,post,post_total_ms,1.115901,2,hospital-service
1787360820868,1787360820-826651913-25869,integration_process,write,getServicePublicKey_ms,0.000060,2,hospital-service
1787360820868,1787360820-826651913-25869,integration_process,write,encrypt_ms,0.000259,2,hospital-service
1787360820868,1787360820-826651913-25869,integration_process,write,write_request_response_ms,19.276450,2,hospital-service
1787360820868,1787360820-826651913-25869,integration_process,write,write_act_total_ms,19.295211,2,hospital-service
1787360820875,1787360820-826651913-25869,digital_service,post,verifyCertificate_ms,0.005400,2,messaging-service
1787360820875,1787360820-826651913-25869,digital_service,post,decrypt_ms,0.004480,2,messaging-service
1787360820875,1787360820-826651913-25869,digital_service,post,storeLocalData_ms,0.384928,2,messaging-service
1787360820876,1787360820-826651913-25869,digital_service,post,post_total_ms,1.017319,2,messaging-service
1787360820887,1787360820-826651913-25869,integration_process,write,getServicePublicKey_ms,0.000080,2,messaging-service
1787360820887,1787360820-826651913-25869,integration_process,write,encrypt_ms,0.000380,2,messaging-service
1787360820887,1787360820-826651913-25869,integration_process,write,write_request_response_ms,19.215310,2,messaging-service
1787360820887,1787360820-826651913-25869,integration_process,write,write_act_total_ms,19.221710,2,messaging-service
1787360820887,1787360820-826651913-25869,integration_process,execute,execute_total_ms,60.896972,2,
