ts,run_id,component,operation,metric,value_ms,program_id,service_id
1787359904381,inside-2-cf7d50528a8b4e1383055ecc522ad1dc,launcher,experimental_control,validateServices_ms,57.982676,2,
1787359904382,inside-2-cf7d50528a8b4e1383055ecc522ad1dc,launcher,start,retrieveProgram_ms,0.017200,2,
1787359904382,inside-2-cf7d50528a8b4e1383055ecc522ad1dc,launcher,start,createCompartment_ms,0.001780,2,
1787359904382,inside-2-cf7d50528a8b4e1383055ecc522ad1dc,launcher,start,deploy_ms,0.000720,2,
1787359904382,inside-2-cf7d50528a8b4e1383055ecc522ad1dc,launcher,start,getIntegratedServices_ms,0.004259,2,
1787359904382,inside-2-cf7d50528a8b4e1383055ecc522ad1dc,launcher,start,exchangeKeys_ms,0.004059,2,
1787359904382,inside-2-cf7d50528a8b4e1383055ecc522ad1dc,launcher,start,generateAttestableDoc_ms,0.194464,2,
1787359904383,inside-2-cf7d50528a8b4e1383055ecc522ad1dc,launcher,start,generateCertificate_ms,0.097462,2,
1787359904383,inside-2-cf7d50528a8b4e1383055ecc522ad1dc,launcher,start,sign_ms,0.000900,2,
1787359904422,inside-2-cf7d50528a8b4e1383055ecc522ad1dc,launcher,read,lookupService_ms,0.010140,2,health-registry-service
1787359904422,inside-2-cf7d50528a8b4e1383055ecc522ad1dc,launcher,read,getCertificate_ms,0.204784,2,health-registry-service
1787359904423,inside-2-cf7d50528a8b4e1383055ecc522ad1dc,launcher,read,getProgramPublicKey_ms,0.103322,2,health-registry-service
1787359904432,inside-2-cf7d50528a8b4e1383055ecc522ad1dc,digital_service,request,verifyCertificate_ms,0.005441,2,health-registry-service
1787359904432,inside-2-cf7d50528a8b4e1383055ecc522ad1dc,digital_service,request,retrieveLocalData_ms,0.177842,2,health-registry-service
1787359904432,inside-2-cf7d50528a8b4e1383055ecc522ad1dc,digital_service,request,encrypt_ms,0.004200,2,health-registry-service
1787359904432,inside-2-cf7d50528a8b4e1383055ecc522ad1dc,digital_service,request,request_total_ms,0.792895,2,health-registry-service
1787359904444,inside-2-cf7d50528a8b4e1383055ecc522ad1dc,launcher,read,request_ms,21.253208,2,health-registry-service
1787359904444,inside-2-cf7d50528a8b4e1383055ecc522ad1dc,launcher,read,launcher_read_total_ms,22.601055,2,health-registry-service
1787359904457,inside-2-cf7d50528a8b4e1383055ecc522ad1dc,integration_process,read,decrypt_ms,0.000940,2,health-registry-service
1787359904457,inside-2-cf7d50528a8b4e1383055ecc522ad1dc,integration_process,read,read_act_total_ms,53.582371,2,health-registry-service
1787359904466,inside-2-cf7d50528a8b4e1383055ecc522ad1dc,launcher,write,lookupService_ms,0.002620,2,hospital-service
1787359904466,inside-2-cf7d50528a8b4e1383055ecc522ad1dc,launcher,write,getCertificate_ms,0.132101,2,hospital-service
1787359904474,inside-2-cf7d50528a8b4e1383055ecc522ad1dc,digital_service,post,verifyCertificate_ms,0.009641,2,hospital-service
1787359904475,inside-2-cf7d50528a8b4e1383055ecc522ad1dc,digital_service,post,decrypt_ms,0.004681,2,hospital-service
1787359904475,inside-2-cf7d50528a8b4e1383055ecc522ad1dc,digital_service,post,storeLocalData_ms,0.397187,2,hospital-service
1787359904475,inside-2-cf7d50528a8b4e1383055ecc522ad1dc,digital_service,post,post_total_ms,0.989399,2,hospital-service
1787359904487,inside-2-cf7d50528a8b4e1383055ecc522ad1dc,launcher,write,post_ms,20.808820,2,hospital-service
1787359904487,inside-2-cf7d50528a8b4e1383055ecc522ad1dc,launcher,write,launcher_write_total_ms,21.595136,2,hospital-service
1787359904499,inside-2-cf7d50528a8b4e1383055ecc522ad1dc,integration_process,write,getServicePublicKey_ms,0.000120,2,hospital-service
1787359904499,inside-2-cf7d50528a8b4e1383055ecc522ad1dc,integration_process,write,encrypt_ms,0.000720,2,hospital-service
1787359904499,inside-2-cf7d50528a8b4e1383055ecc522ad1dc,integration_process,write,write_request_response_ms,42.259013,2,hospital-service
1787359904499,inside-2-cf7d50528a8b4e1383055ecc522ad1dc,integration_process,write,write_act_total_ms,42.272173,2,hospital-service
1787359904508,inside-2-cf7d50528a8b4e1383055ecc522ad1dc,launcher,write,lookupService_ms,0.002860,2,messaging-service
1787359904509,inside-2-cf7d50528a8b4e1383055ecc522ad1dc,launcher,write,getCertificate_ms,0.143743,2,messaging-service
1787359904517,inside-2-cf7d50528a8b4e1383055ecc522ad1dc,digital_service,post,verifyCertificate_ms,0.004800,2,messaging-service
1787359904517,inside-2-cf7d50528a8b4e1383055ecc522ad1dc,digital_service,post,decrypt_ms,0.004961,2,messaging-service
1787359904518,inside-2-cf7d50528a8b4e1383055ecc522ad1dc,digital_service,post,storeLocalData_ms,0.344426,2,messaging-service
1787359904518,inside-2-cf7d50528a8b4e1383055ecc522ad1dc,digital_service,post,post_total_ms,0.932920,2,messaging-service
1787359904530,inside-2-cf7d50528a8b4e1383055ecc522ad1dc,launcher,write,post_ms,20.739799,2,messaging-service
1787359904530,inside-2-cf7d50528a8b4e1383055ecc522ad1dc,launcher,write,launcher_write_total_ms,21.600857,2,messaging-service
1787359904541,inside-2-cf7d50528a8b4e1383055ecc522ad1dc,integration_process,write,getServicePublicKey_ms,0.000120,2,messaging-service
1787359904541,inside-2-cf7d50528a8b4e1383055ecc522ad1dc,integration_process,write,encrypt_ms,0.000759,2,messaging-service
1787359904541,inside-2-cf7d50528a8b4e1383055ecc522ad1dc,integration_process,write,write_request_response_ms,42.273973,2,messaging-service
1787359904541,inside-2-cf7d50528a8b4e1383055ecc522ad1dc,integration_process,write,write_act_total_ms,42.283333,2,messaging-service
1787359904541,inside-2-cf7d50528a8b4e1383055ecc522ad1dc,integration_process,execute,execute_total_ms,138.361080,2,
1787359904545,inside-2-cf7d50528a8b4e1383055ecc522ad1dc,launcher,start,run_ms,162.215260,2,
1787359904545,inside-2-cf7d50528a8b4e1383055ecc522ad1dc,launcher,start,start_total_ms,163.963173,2,
1787359904656,inside-2-42cf3b2d9c474af9a4de5e9516b7afcd,launcher,experimental_control,validateServices_ms,57.549806,2,
1787359904657,inside-2-42cf3b2d9c474af9a4de5e9516b7afcd,launcher,start,retrieveProgram_ms,0.017441,2,
1787359904657,inside-2-42cf3b2d9c474af9a4de5e9516b7afcd,launcher,start,createCompartment_ms,0.002079,2,
1787359904657,inside-2-42cf3b2d9c474af9a4de5e9516b7afcd,launcher,start,deploy_ms,0.001161,2,
1787359904657,inside-2-42cf3b2d9c474af9a4de5e9516b7afcd,launcher,start,getIntegratedServices_ms,0.003759,2,
1787359904657,inside-2-42cf3b2d9c474af9a4de5e9516b7afcd,launcher,start,exchangeKeys_ms,0.004161,2,
1787359904657,inside-2-42cf3b2d9c474af9a4de5e9516b7afcd,launcher,start,generateAttestableDoc_ms,0.186083,2,
1787359904658,inside-2-42cf3b2d9c474af9a4de5e9516b7afcd,launcher,start,generateCertificate_ms,0.095002,2,
1787359904658,inside-2-42cf3b2d9c474af9a4de5e9516b7afcd,launcher,start,sign_ms,0.000840,2,
1787359904698,inside-2-42cf3b2d9c474af9a4de5e9516b7afcd,launcher,read,lookupService_ms,0.007561,2,health-registry-service
1787359904698,inside-2-42cf3b2d9c474af9a4de5e9516b7afcd,launcher,read,getCertificate_ms,0.196944,2,health-registry-service
1787359904698,inside-2-42cf3b2d9c474af9a4de5e9516b7afcd,launcher,read,getProgramPublicKey_ms,0.099981,2,health-registry-service
1787359904707,inside-2-42cf3b2d9c474af9a4de5e9516b7afcd,digital_service,request,verifyCertificate_ms,0.005680,2,health-registry-service
1787359904707,inside-2-42cf3b2d9c474af9a4de5e9516b7afcd,digital_service,request,retrieveLocalData_ms,0.182684,2,health-registry-service
1787359904708,inside-2-42cf3b2d9c474af9a4de5e9516b7afcd,digital_service,request,encrypt_ms,0.006480,2,health-registry-service
1787359904708,inside-2-42cf3b2d9c474af9a4de5e9516b7afcd,digital_service,request,request_total_ms,0.795576,2,health-registry-service
1787359904720,inside-2-42cf3b2d9c474af9a4de5e9516b7afcd,launcher,read,request_ms,21.136686,2,health-registry-service
1787359904720,inside-2-42cf3b2d9c474af9a4de5e9516b7afcd,launcher,read,launcher_read_total_ms,22.466833,2,health-registry-service
1787359904732,inside-2-42cf3b2d9c474af9a4de5e9516b7afcd,integration_process,read,decrypt_ms,0.000939,2,health-registry-service
1787359904732,inside-2-42cf3b2d9c474af9a4de5e9516b7afcd,integration_process,read,read_act_total_ms,53.945077,2,health-registry-service
1787359904741,inside-2-42cf3b2d9c474af9a4de5e9516b7afcd,launcher,write,lookupService_ms,0.002660,2,hospital-service
1787359904742,inside-2-42cf3b2d9c474af9a4de5e9516b7afcd,launcher,write,getCertificate_ms,0.129943,2,hospital-service
1787359904750,inside-2-42cf3b2d9c474af9a4de5e9516b7afcd,digital_service,post,verifyCertificate_ms,0.005641,2,hospital-service
1787359904750,inside-2-42cf3b2d9c474af9a4de5e9516b7afcd,digital_service,post,decrypt_ms,0.004021,2,hospital-service
1787359904750,inside-2-42cf3b2d9c474af9a4de5e9516b7afcd,digital_service,post,storeLocalData_ms,0.414968,2,hospital-service
1787359904750,inside-2-42cf3b2d9c474af9a4de5e9516b7afcd,digital_service,post,post_total_ms,0.974958,2,hospital-service
1787359904762,inside-2-42cf3b2d9c474af9a4de5e9516b7afcd,launcher,write,post_ms,20.703158,2,hospital-service
1787359904763,inside-2-42cf3b2d9c474af9a4de5e9516b7afcd,launcher,write,launcher_write_total_ms,21.516394,2,hospital-service
1787359904774,inside-2-42cf3b2d9c474af9a4de5e9516b7afcd,integration_process,write,getServicePublicKey_ms,0.000120,2,hospital-service
1787359904774,inside-2-42cf3b2d9c474af9a4de5e9516b7afcd,integration_process,write,encrypt_ms,0.000720,2,hospital-service
1787359904774,inside-2-42cf3b2d9c474af9a4de5e9516b7afcd,integration_process,write,write_request_response_ms,41.999187,2,hospital-service
1787359904774,inside-2-42cf3b2d9c474af9a4de5e9516b7afcd,integration_process,write,write_act_total_ms,42.012068,2,hospital-service
