ts,run_id,component,operation,metric,value_ms,program_id,service_id
1787097113406,1787097113-396259650-10433,digital_service,request,verifyCertificate_ms,0.004101,2,health-registry-service
1787097113410,1787097113-396259650-10433,digital_service,request,retrieveLocalData_ms,4.099499,2,health-registry-service
1787097113410,1787097113-396259650-10433,digital_service,request,encrypt_ms,0.004960,2,health-registry-service
1787097113410,1787097113-396259650-10433,digital_service,request,request_total_ms,4.787572,2,health-registry-service
1787097113422,1787097113-396259650-10433,integration_process,read,read_request_response_ms,26.206825,2,health-registry-service
1787097113422,1787097113-396259650-10433,integration_process,read,read_parse_ms,0.009620,2,health-registry-service
1787097113422,1787097113-396259650-10433,integration_process,read,decrypt_ms,0.000180,2,health-registry-service
1787097113422,1787097113-396259650-10433,integration_process,read,read_act_total_ms,26.227386,2,health-registry-service
1787097113429,1787097113-396259650-10433,digital_service,post,verifyCertificate_ms,0.005520,2,hospital-service
1787097113429,1787097113-396259650-10433,digital_service,post,decrypt_ms,0.004479,2,hospital-service
1787097113449,1787097113-396259650-10433,digital_service,post,storeLocalData_ms,19.376253,2,hospital-service
1787097113449,1787097113-396259650-10433,digital_service,post,post_total_ms,20.040766,2,hospital-service
1787097113460,1787097113-396259650-10433,integration_process,write,getServicePublicKey_ms,0.000060,2,hospital-service
1787097113460,1787097113-396259650-10433,integration_process,write,encrypt_ms,0.000260,2,hospital-service
1787097113460,1787097113-396259650-10433,integration_process,write,write_request_response_ms,38.339441,2,hospital-service
1787097113460,1787097113-396259650-10433,integration_process,write,write_act_total_ms,38.346481,2,hospital-service
1787097113467,1787097113-396259650-10433,digital_service,post,verifyCertificate_ms,0.004701,2,messaging-service
1787097113468,1787097113-396259650-10433,digital_service,post,decrypt_ms,0.004321,2,messaging-service
1787097113468,1787097113-396259650-10433,digital_service,post,storeLocalData_ms,0.461769,2,messaging-service
1787097113468,1787097113-396259650-10433,digital_service,post,post_total_ms,1.068419,2,messaging-service
1787097113480,1787097113-396259650-10433,integration_process,write,getServicePublicKey_ms,0.000080,2,messaging-service
1787097113480,1787097113-396259650-10433,integration_process,write,encrypt_ms,0.000381,2,messaging-service
1787097113480,1787097113-396259650-10433,integration_process,write,write_request_response_ms,19.325714,2,messaging-service
1787097113480,1787097113-396259650-10433,integration_process,write,write_act_total_ms,19.332234,2,messaging-service
1787097113480,1787097113-396259650-10433,integration_process,execute,execute_total_ms,84.103206,2,
1787097113495,1787097113-485585396-10434,digital_service,request,verifyCertificate_ms,0.004220,2,health-registry-service
1787097113500,1787097113-485585396-10434,digital_service,request,retrieveLocalData_ms,4.901355,2,health-registry-service
1787097113500,1787097113-485585396-10434,digital_service,request,encrypt_ms,0.004120,2,health-registry-service
1787097113500,1787097113-485585396-10434,digital_service,request,request_total_ms,5.619389,2,health-registry-service
1787097113512,1787097113-485585396-10434,integration_process,read,read_request_response_ms,26.862439,2,health-registry-service
1787097113512,1787097113-485585396-10434,integration_process,read,read_parse_ms,0.007440,2,health-registry-service
1787097113512,1787097113-485585396-10434,integration_process,read,decrypt_ms,0.000200,2,health-registry-service
1787097113512,1787097113-485585396-10434,integration_process,read,read_act_total_ms,26.879740,2,health-registry-service
1787097113519,1787097113-485585396-10434,digital_service,post,verifyCertificate_ms,0.004800,2,hospital-service
1787097113519,1787097113-485585396-10434,digital_service,post,decrypt_ms,0.004580,2,hospital-service
1787097113538,1787097113-485585396-10434,digital_service,post,storeLocalData_ms,19.040048,2,hospital-service
1787097113538,1787097113-485585396-10434,digital_service,post,post_total_ms,19.693840,2,hospital-service
1787097113550,1787097113-485585396-10434,integration_process,write,getServicePublicKey_ms,0.000079,2,hospital-service
1787097113550,1787097113-485585396-10434,integration_process,write,encrypt_ms,0.000260,2,hospital-service
1787097113550,1787097113-485585396-10434,integration_process,write,write_request_response_ms,37.899511,2,hospital-service
1787097113550,1787097113-485585396-10434,integration_process,write,write_act_total_ms,37.906252,2,hospital-service
1787097113557,1787097113-485585396-10434,digital_service,post,verifyCertificate_ms,0.005161,2,messaging-service
1787097113557,1787097113-485585396-10434,digital_service,post,decrypt_ms,0.004541,2,messaging-service
1787097113558,1787097113-485585396-10434,digital_service,post,storeLocalData_ms,0.463089,2,messaging-service
1787097113558,1787097113-485585396-10434,digital_service,post,post_total_ms,1.032519,2,messaging-service
1787097113569,1787097113-485585396-10434,integration_process,write,getServicePublicKey_ms,0.000060,2,messaging-service
1787097113569,1787097113-485585396-10434,integration_process,write,encrypt_ms,0.000480,2,messaging-service
1787097113569,1787097113-485585396-10434,integration_process,write,write_request_response_ms,19.206971,2,messaging-service
1787097113569,1787097113-485585396-10434,integration_process,write,write_act_total_ms,19.213472,2,messaging-service
1787097113569,1787097113-485585396-10434,integration_process,execute,execute_total_ms,84.215346,2,
1787097113584,1787097113-575043125-10435,digital_service,request,verifyCertificate_ms,0.004580,2,health-registry-service
1787097113589,1787097113-575043125-10435,digital_service,request,retrieveLocalData_ms,3.914776,2,health-registry-service
1787097113589,1787097113-575043125-10435,digital_service,request,encrypt_ms,0.004981,2,health-registry-service
1787097113589,1787097113-575043125-10435,digital_service,request,request_total_ms,4.602288,2,health-registry-service
1787097113600,1787097113-575043125-10435,integration_process,read,read_request_response_ms,25.842000,2,health-registry-service
1787097113600,1787097113-575043125-10435,integration_process,read,read_parse_ms,0.008261,2,health-registry-service
1787097113600,1787097113-575043125-10435,integration_process,read,decrypt_ms,0.000179,2,health-registry-service
1787097113600,1787097113-575043125-10435,integration_process,read,read_act_total_ms,25.860640,2,health-registry-service
1787097113607,1787097113-575043125-10435,digital_service,post,verifyCertificate_ms,0.004980,2,hospital-service
1787097113607,1787097113-575043125-10435,digital_service,post,decrypt_ms,0.003940,2,hospital-service
1787097113627,1787097113-575043125-10435,digital_service,post,storeLocalData_ms,19.279532,2,hospital-service
1787097113627,1787097113-575043125-10435,digital_service,post,post_total_ms,19.925664,2,hospital-service
1787097113639,1787097113-575043125-10435,integration_process,write,getServicePublicKey_ms,0.000080,2,hospital-service
1787097113639,1787097113-575043125-10435,integration_process,write,encrypt_ms,0.000280,2,hospital-service
1787097113639,1787097113-575043125-10435,integration_process,write,write_request_response_ms,38.145257,2,hospital-service
1787097113639,1787097113-575043125-10435,integration_process,write,write_act_total_ms,38.152057,2,hospital-service
1787097113646,1787097113-575043125-10435,digital_service,post,verifyCertificate_ms,0.005120,2,messaging-service
1787097113646,1787097113-575043125-10435,digital_service,post,decrypt_ms,0.004281,2,messaging-service
